Name,Version,Status,Context,Lint command,Lint status,Lint duration,Lint output,Dry with Coq command,Dry with Coq status,Dry with Coq duration,Dry with Coq output,Dry without Coq command,Dry without Coq status,Dry without Coq duration,Dry without Coq output,Deps command,Deps status,Deps duration,Deps output,Package command,Package status,Package duration,Package output,Uninstall command,Uninstall status,Uninstall duration,Uninstall output,Missing removes,Mistake removes,Install sizes
coq:pidetop,dev,LintError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:pidetop/coq:pidetop.dev,256,0,"The build script should use the `%{jobs}%` variable to speedup building time. For example:
build: [
  [make ""-j%{jobs}%""]
  [make ""install""]
]
",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:idetop,8.5beta1,LintError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:idetop/coq:idetop.8.5beta1,256,0,"The build script should use the `%{jobs}%` variable to speedup building time. For example:
build: [
  [make ""-j%{jobs}%""]
  [make ""install""]
]
",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:idetop,8.5.dev,LintError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:idetop/coq:idetop.8.5.dev,256,0,"The build script should use the `%{jobs}%` variable to speedup building time. For example:
build: [
  [make ""-j%{jobs}%""]
  [make ""install""]
]
",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:hott,0.9.0,NotCompatible,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:hott/coq:hott.0.9.0,0,0,"",opam install -y --show-action coq:hott.0.9.0 coq.8.4.5,768,0,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:hott -> coq = hott
Your request can't be satisfied:
  - Conflicting version constraints for coq

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:hott.0.9.0,0,4,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:cybele,dev,NotCompatible,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:cybele/coq:cybele.dev,0,0,"",opam install -y --show-action coq:cybele.dev coq.8.4.5,768,0,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:cybele -> coq = dev
Your request can't be satisfied:
  - Conflicting version constraints for coq

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:cybele.dev,0,4,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:coqide,8.5beta1,DepsError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:coqide/coq:coqide.8.5beta1,0,0,"",opam install -y --show-action coq:coqide.8.5beta1 coq.8.4.5,768,0,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:coqide -> coqidetop
Your request can't be satisfied:
  - No package named coqidetop found.

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:coqide.8.5beta1,768,3,"The following actions will be performed:
 - remove    coq.8.4.5
=== 1 to remove ===

=-=- Removing Packages =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
Removing coq.8.4.5.
[WARNING] Directory /home/bench/.opam/system/lib/coq is not empty, not removing
[WARNING] Directory /home/bench/.opam/system/share/coq is not empty, not removing
The following dependencies couldn't be met:
  - coq:coqide -> coqidetop
Your request can't be satisfied:
  - No package named coqidetop found.

No solution found, exiting
",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:coqide,8.5.dev,DepsError,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:coqide/coq:coqide.8.5.dev,0,0,"",opam install -y --show-action coq:coqide.8.5.dev coq.8.4.5,768,0,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:coqide -> coqidetop
Your request can't be satisfied:
  - No package named coqidetop found.

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:coqide.8.5.dev,768,3,"The following actions will be performed:
 - remove    coq.8.4.5
=== 1 to remove ===

=-=- Removing Packages =-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=-=
Removing coq.8.4.5.
[WARNING] Directory /home/bench/.opam/system/lib/coq is not empty, not removing
[WARNING] Directory /home/bench/.opam/system/share/coq is not empty, not removing
The following dependencies couldn't be met:
  - coq:coqide -> coqidetop
Your request can't be satisfied:
  - No package named coqidetop found.

No solution found, exiting
",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:contrib:zsearch-trees,dev,NotCompatible,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:contrib:zsearch-trees/coq:contrib:zsearch-trees.dev,0,0,"",opam install -y --show-action coq:contrib:zsearch-trees.dev coq.8.4.5,768,0,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:contrib:zsearch-trees -> coq >= 8.5beta1
Your request can't be satisfied:
  - Conflicting version constraints for coq

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:contrib:zsearch-trees.dev,0,4,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:contrib:zorns-lemma,dev,NotCompatible,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:contrib:zorns-lemma/coq:contrib:zorns-lemma.dev,0,0,"",opam install -y --show-action coq:contrib:zorns-lemma.dev coq.8.4.5,768,1,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:contrib:zorns-lemma -> coq >= 8.5beta1
Your request can't be satisfied:
  - Conflicting version constraints for coq

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:contrib:zorns-lemma.dev,0,4,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
coq:contrib:zfc,dev,NotCompatible,"# Installed packages for system:
base-bigarray   base  Bigarray library distributed with the OCaml compiler
base-threads    base  Threads library distributed with the OCaml compiler
base-unix       base  Unix library distributed with the OCaml compiler
camlp5          6.12  Preprocessor-pretty-printer of OCaml
coq            8.4.5  Formal proof management system
",ruby lint.rb unstable ../unstable/packages/coq:contrib:zfc/coq:contrib:zfc.dev,0,0,"",opam install -y --show-action coq:contrib:zfc.dev coq.8.4.5,768,1,"[NOTE] Package coq is already installed (current version is 8.4.5).
The following dependencies couldn't be met:
  - coq:contrib:zfc -> coq >= 8.5beta1
Your request can't be satisfied:
  - Conflicting version constraints for coq

No solution found, exiting
",opam remove -y coq; opam install -y --show-action coq:contrib:zfc.dev,0,4,"",true,0,0,"",true,0,0,"",true,0,0,"","","",""
